year,month,c_cpi_u_extended
1957,5,47.29596205783545
1957,6,47.481767623062666
1957,7,47.61689894322791
1957,8,47.76892167841381
1957,9,47.83648733849643
1957,10,47.83648733849643
1957,11,47.988510073682335
1957,12,48.08985856380626
1958,1,48.37701261915741
1958,2,48.47836110928134
1958,3,48.765515164632475
1958,4,48.88375506977707
1958,5,48.88375506977707
1958,6,48.833080824715104
1958,7,48.79929799467379
1958,8,48.88375506977707
1958,9,48.833080824715104
1958,10,48.833080824715104
1958,11,48.900646484797726
1958,12,48.93442931483903
1959,1,49.001994974921665
1959,2,48.985103559901006
1959,3,48.93442931483903
1959,4,48.951320729859695
1959,5,49.05266921998363
1959,6,49.17090912512822
1959,7,49.23847478521083
1959,8,49.2891490302728
1959,9,49.407388935417394
1959,10,49.57630308562395
1959,11,49.57630308562395
1959,12,49.67765157574787
1960,1,49.610085915665266
1960,2,49.67765157574787
1960,3,49.67765157574787
1960,4,49.897239971016404
1960,5,49.947914216078374
1960,6,50.015479876160995
1960,7,49.91413138603706
1960,8,50.015479876160995
1960,9,50.015479876160995
1960,10,50.25195968645017
1960,11,50.30263393151214
1960,12,50.353308176574096
1961,1,50.40398242163607
1961,2,50.40398242163607
1961,3,50.40398242163607
1961,4,50.353308176574096
1961,5,50.40398242163607
1961,6,50.40398242163607
1961,7,50.539113741801316
1961,8,50.57289657184263
1961,9,50.64046223192525
1961,10,50.64046223192525
1961,11,50.64046223192525
1961,12,50.69113647698721
1962,1,50.74181072204919
1962,2,50.86005062719377
1962,3,50.96139911731771
1962,4,51.02896477740033
1962,5,51.079639022462295
1962,6,51.02896477740033
1962,7,51.04585619242098
1962,8,51.14720468254492
1962,9,51.38368449283409
1962,10,51.316118832751464
1962,11,51.316118832751464
1962,12,51.316118832751464
1963,1,51.4174673228754
1963,2,51.485032982958025
1963,3,51.53570722801999
1963,4,51.48503298295802
1963,5,51.53570722801999
1963,6,51.70462137822655
1963,7,51.83975269839179
1963,8,51.941101188515724
1963,9,51.890426943453754
1963,10,51.94110118851572
1963,11,51.991775433577686
1963,12,52.16068958378424
1964,1,52.26203807390817
1964,2,52.2113638288462
1964,3,52.26203807390817
1964,4,52.278929488928824
1964,5,52.329603733990794
1964,6,52.38027797905278
1964,7,52.39716939407342
1964,8,52.44784363913539
1964,9,52.498517884197355
1964,10,52.56608354427998
1964,11,52.71810627946588
1964,12,52.7856719395485
1965,1,52.83634618461046
1965,2,52.83634618461046
1965,3,52.887020429672425
1965,4,53.00526033481702
1965,5,53.17417448502357
1965,6,53.39376288029211
1965,7,53.34308863523013
1965,8,53.29241439016817
1965,9,53.41065429531276
1965,10,53.461328540374716
1965,11,53.63024269058128
1965,12,53.79915684078783
1966,1,53.8498310858498
1966,2,54.18765938626291
1966,3,54.35657353646946
1966,4,54.525487686676016
1966,5,54.64372759182061
1966,6,54.69440183688258
1966,7,54.81264174202716
1966,8,55.15047004244027
1966,9,55.31938419264683
1966,10,55.48829834285338
1966,11,55.53897258791535
1966,12,55.60653824799797
1967,1,55.57275541795666
1967,2,55.74166956816322
1967,3,55.72755417956656
1967,4,55.72755417956656
1967,5,55.86836510127197
