time_period,data_value
1999M03,75.541
1999M04,75.906
1999M05,75.955
1999M06,75.979
1999M07,76.181
1999M08,76.319
1999M09,76.593
1999M10,76.723
1999M11,76.792
1999M12,76.97
2000M01,77.18
2000M02,77.422
2000M03,77.755
2000M04,77.69
2000M05,77.755
2000M06,78.019
2000M07,78.214
2000M08,78.209
2000M09,78.545
2000M10,78.652
2000M11,78.762
2000M12,78.883
2001M01,79.265
2001M02,79.388
2001M03,79.395
2001M04,79.534
2001M05,79.743
2001M06,79.885
2001M07,79.858
2001M08,79.848
2001M09,79.577
2001M10,79.857
2001M11,79.803
2001M12,79.721
2002M01,79.793
2002M02,79.926
2002M03,80.144
2002M04,80.479
2002M05,80.531
2002M06,80.632
2002M07,80.81
2002M08,80.969
2002M09,81.115
2002M10,81.262
2002M11,81.343
2002M12,81.421
2003M01,81.664
2003M02,82.009
2003M03,82.219
2003M04,82.08
2003M05,81.986
2003M06,82.074
2003M07,82.315
2003M08,82.593
2003M09,82.852
2003M10,82.862
2003M11,82.967
2003M12,83.15
2004M01,83.471
2004M02,83.649
2004M03,83.778
2004M04,83.934
2004M05,84.206
2004M06,84.447
2004M07,84.525
2004M08,84.569
2004M09,84.735
2004M10,85.099
2004M11,85.427
2004M12,85.473
2005M01,85.585
2005M02,85.823
2005M03,86.08
2005M04,86.321
2005M05,86.37
2005M06,86.423
2005M07,86.79
2005M08,87.14
2005M09,87.981
2005M10,88.121
2005M11,87.938
2005M12,87.938
2006M01,88.364
2006M02,88.417
2006M03,88.588
2006M04,88.999
2006M05,89.239
2006M06,89.459
2006M07,89.765
2006M08,90.047
2006M09,89.812
2006M10,89.599
2006M11,89.63
2006M12,89.949
2007M01,90.249
2007M02,90.529
2007M03,90.861
2007M04,91.074
2007M05,91.339
2007M06,91.532
2007M07,91.672
2007M08,91.734
2007M09,92.088
2007M10,92.367
2007M11,92.856
2007M12,93.072
2008M01,93.307
2008M02,93.492
2008M03,93.76
2008M04,93.934
2008M05,94.337
2008M06,95.021
2008M07,95.463
2008M08,95.386
2008M09,95.465
2008M10,94.835
2008M11,93.716
2008M12,93.192
2009M01,93.203
2009M02,93.369
2009M03,93.267
2009M04,93.401
2009M05,93.498
2009M06,94.053
2009M07,94.063
2009M08,94.336
2009M09,94.489
2009M10,94.847
2009M11,95.084
2009M12,95.14
2010M01,95.348
2010M02,95.345
2010M03,95.48
2010M04,95.532
2010M05,95.562
2010M06,95.522
2010M07,95.604
2010M08,95.735
2010M09,95.83
2010M10,96.135
2010M11,96.327
2010M12,96.545
2011M01,96.835
2011M02,97.105
2011M03,97.496
2011M04,97.908
2011M05,98.206
2011M06,98.186
2011M07,98.353
2011M08,98.584
2011M09,98.723
2011M10,98.725
2011M11,98.928
2011M12,98.984
2012M01,99.323
2012M02,99.545
2012M03,99.735
2012M04,99.866
2012M05,99.754
2012M06,99.704
2012M07,99.74
2012M08,100.075
2012M09,100.379
2012M10,100.677
2012M11,100.609
2012M12,100.593
2013M01,100.787
2013M02,101.156
2013M03,101.023
2013M04,100.944
2013M05,101.01
2013M06,101.228
2013M07,101.354
2013M08,101.51
2013M09,101.55
2013M10,101.722
2013M11,101.881
2013M12,102.084
2014M01,102.278
2014M02,102.338
2014M03,102.543
2014M04,102.742
2014M05,102.919
2014M06,103.035
2014M07,103.19
2014M08,103.177
2014M09,103.203
2014M10,103.177
2014M11,103.098
2014M12,102.94
2015M01,102.465
2015M02,102.634
2015M03,102.831
2015M04,102.91
2015M05,103.156
2015M06,103.356
2015M07,103.441
2015M08,103.442
2015M09,103.289
2015M10,103.274
2015M11,103.337
2015M12,103.253
2016M01,103.306
2016M02,103.242
2016M03,103.481
2016M04,103.823
2016M05,103.977
2016M06,104.175
2016M07,104.218
2016M08,104.374
2016M09,104.555
2016M10,104.786
2016M11,104.826
2016M12,105.017
2017M01,105.408
2017M02,105.57
2017M03,105.512
2017M04,105.744
2017M05,105.714
2017M06,105.815
2017M07,105.842
2017M08,106.093
2017M09,106.491
2017M10,106.648
2017M11,106.825
2017M12,106.98
2018M01,107.362
2018M02,107.625
2018M03,107.777
2018M04,107.988
2018M05,108.193
2018M06,108.317
2018M07,108.417
2018M08,108.502
2018M09,108.738
2018M10,108.924
2018M11,108.969
2018M12,108.991
2019M01,108.977
2019M02,109.146
2019M03,109.443
2019M04,109.78
2019M05,109.856
2019M06,109.935
2019M07,110.094
2019M08,110.132
2019M09,110.207
2019M10,110.423
2019M11,110.469
2019M12,110.736
2020M01,110.944
2020M02,111.07
2020M03,110.824
2020M04,110.237
2020M05,110.353
2020M06,110.746
2020M07,111.072
2020M08,111.411
2020M09,111.613
2020M10,111.648
2020M11,111.666
2020M12,112.15
2021M01,112.583
2021M02,112.961
2021M03,113.632
2021M04,114.238
2021M05,114.819
2021M06,115.458
2021M07,115.986
2021M08,116.444
2021M09,116.808
2021M10,117.479
2021M11,118.2
2021M12,118.841
2022M01,119.469
2022M02,120.178
2022M03,121.321
2022M04,121.563
2022M05,122.3
2022M06,123.512
2022M07,123.397
2022M08,123.728
2022M09,124.154
2022M10,124.676
2022M11,124.889
2022M12,125.141
2023M01,125.874
2023M02,126.24
2023M03,126.385
2023M04,126.772
2023M05,126.914
2023M06,127.174
2023M07,127.445
